,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeOutcomeYear,AgeOutcomeMonth,AgeOutcomeWeek
127,2014-08-24 09:00:00,4,0,1,90,640,104,0,3,12
128,2015-03-22 18:40:00,3,1,2,730,450,130,2,24,104
129,2015-01-25 11:15:00,3,1,3,3285,847,165,9,109,469
130,2015-10-22 17:18:00,0,1,3,1095,1066,250,3,36,156
131,2015-10-26 18:39:00,3,0,3,1095,640,139,3,36,156
132,2016-01-15 14:03:00,0,1,3,365,469,38,1,12,52
133,2015-01-09 15:28:00,4,1,3,730,450,36,2,24,104
134,2015-12-15 17:30:00,3,1,3,365,1065,89,1,12,52
135,2014-06-10 16:41:00,4,0,2,730,1251,186,2,24,104
136,2015-05-16 15:19:00,3,1,3,730,1313,88,2,24,104
137,2014-06-18 09:00:00,4,0,0,730,640,86,2,24,104
138,2015-10-20 09:00:00,4,0,4,90,640,296,0,3,12
139,2014-11-23 18:55:00,0,1,3,30,958,307,0,1,4
140,2014-08-05 13:20:00,0,0,2,60,640,220,0,2,8
141,2014-02-16 19:38:00,0,0,2,300,637,167,0,10,42
142,2016-02-09 16:31:00,4,0,3,730,637,111,2,24,104
143,2015-06-28 15:33:00,0,0,3,60,637,139,0,2,8
144,2015-11-01 19:11:00,0,1,2,180,847,358,0,6,25
145,2015-11-07 19:14:00,0,0,3,60,640,104,0,2,8
146,2014-09-26 18:09:00,0,1,3,365,559,274,1,12,52
147,2014-10-22 14:37:00,4,1,0,180,559,130,0,6,25
148,2014-06-01 17:48:00,0,0,3,365,640,38,1,12,52
149,2014-09-12 18:38:00,4,0,1,21,640,139,0,0,3
150,2016-02-19 14:58:00,0,0,2,730,640,104,2,24,104
151,2015-11-14 13:30:00,0,1,3,330,234,86,0,11,47
152,2014-03-03 16:58:00,4,1,2,90,1170,307,0,3,12
153,2014-02-10 12:34:00,3,1,3,730,548,88,2,24,104
154,2014-09-27 12:25:00,4,1,2,730,1066,226,2,24,104
155,2015-08-15 11:32:00,0,1,2,730,1066,130,2,24,104
156,2014-07-03 18:45:00,0,0,3,120,631,139,0,4,17
157,2014-08-11 15:17:00,4,1,0,120,585,226,0,4,17
158,2014-09-15 09:00:00,4,0,0,150,640,291,0,5,21
159,2015-12-16 11:28:00,0,0,2,60,640,16,0,2,8
160,2015-07-29 15:41:00,4,1,2,2555,450,130,7,85,365
161,2016-01-23 16:05:00,0,0,2,1460,640,38,4,48,208
162,2015-09-10 11:35:00,4,0,0,21,640,304,0,0,3
163,2015-12-06 17:08:00,0,1,2,180,249,38,0,6,25
164,2015-08-08 17:58:00,0,1,0,150,847,38,0,5,21
165,2016-01-13 11:43:00,3,1,3,2920,923,318,8,97,417
166,2015-07-19 17:26:00,0,0,2,60,640,5,0,2,8
167,2015-07-06 18:05:00,0,0,3,30,640,68,0,1,4
168,2016-02-15 18:30:00,3,1,3,150,847,318,0,5,21
169,2014-05-31 13:58:00,4,0,1,30,640,104,0,1,4
170,2014-10-23 09:00:00,4,0,1,120,640,63,0,4,17
171,2015-08-01 11:54:00,0,1,3,365,450,353,1,12,52
172,2014-08-10 16:25:00,0,1,2,730,896,25,2,24,104
173,2013-11-04 15:50:00,4,0,3,4015,640,296,11,133,573
174,2015-06-25 09:31:00,0,1,2,60,597,307,0,2,8
175,2015-09-01 00:00:00,4,0,2,60,640,320,0,2,8
176,2015-10-29 18:44:00,0,0,0,60,640,104,0,2,8
177,2015-04-20 14:41:00,0,1,3,30,1111,26,0,1,4
178,2015-05-25 11:26:00,3,1,3,2555,481,353,7,85,365
179,2014-05-21 13:47:00,4,0,1,4,640,168,0,0,0
180,2015-11-09 13:24:00,3,1,2,1460,1254,342,4,48,208
181,2015-12-22 00:00:00,4,1,3,730,74,289,2,24,104
182,2015-11-14 13:26:00,3,1,3,365,1116,320,1,12,52
183,2015-12-09 17:05:00,3,1,2,730,1066,98,2,24,104
184,2014-09-03 18:51:00,4,0,0,28,637,104,0,0,4
185,2015-11-13 11:53:00,4,0,0,365,640,38,1,12,52
186,2015-05-12 17:39:00,0,1,3,730,1373,286,2,24,104
187,2013-10-03 12:27:00,4,0,1,300,640,216,0,10,42
188,2015-03-07 12:50:00,4,1,3,1460,696,318,4,48,208
189,2014-07-16 17:48:00,0,0,3,120,640,111,0,4,17
190,2015-05-13 11:51:00,4,1,3,2190,424,353,6,73,312
191,2015-05-15 17:47:00,0,1,3,270,962,38,0,9,38
192,2015-09-19 14:33:00,0,1,3,1095,830,226,3,36,156
193,2014-11-23 12:43:00,0,0,3,240,640,291,0,8,34
194,2014-05-01 16:12:00,0,1,3,300,1166,232,0,10,42
195,2015-09-01 00:00:00,4,0,2,365,640,339,1,12,52
196,2015-10-27 16:44:00,0,1,2,365,407,48,1,12,52
197,2015-07-03 18:50:00,0,1,2,365,847,38,1,12,52
198,2014-07-24 15:02:00,0,1,2,90,847,358,0,3,12
199,2013-11-19 18:30:00,3,1,1,2190,450,163,6,73,312
200,2014-01-21 15:20:00,4,0,4,365,632,5,1,12,52
201,2014-04-10 10:13:00,3,1,2,730,45,289,2,24,104
202,2013-11-30 18:48:00,0,1,3,1825,549,289,5,60,260
203,2015-05-10 17:16:00,2,0,2,4380,632,220,12,146,625
204,2014-04-08 12:50:00,0,1,3,730,696,252,2,24,104
205,2014-10-18 18:48:00,0,1,2,2190,847,38,6,73,312
206,2015-06-27 18:24:00,0,0,2,90,640,5,0,3,12
207,2014-02-01 11:13:00,3,1,3,240,617,307,0,8,34
208,2013-12-27 15:49:00,4,0,2,365,640,5,1,12,52
209,2015-10-31 15:18:00,4,0,0,5475,640,5,15,182,782
210,2014-10-22 17:46:00,4,1,0,21,1116,165,0,0,3
211,2014-11-13 16:07:00,0,1,2,150,595,329,0,5,21
212,2014-05-14 19:15:00,0,1,2,730,975,38,2,24,104
213,2014-12-30 09:38:00,0,1,3,730,1346,98,2,24,104
214,2015-11-27 14:06:00,3,1,1,730,125,103,2,24,104
215,2016-01-11 14:23:00,0,1,3,730,847,289,2,24,104
216,2014-09-12 18:38:00,4,0,0,21,640,139,0,0,3
217,2015-05-28 13:14:00,4,1,3,365,1066,113,1,12,52
218,2015-03-21 09:00:00,4,0,1,730,640,111,2,24,104
219,2013-10-30 15:14:00,4,0,1,28,640,104,0,0,4
220,2014-04-08 15:29:00,4,1,2,1460,450,329,4,48,208
221,2014-06-24 19:15:00,4,0,1,21,640,104,0,0,3
222,2014-05-27 08:21:00,0,0,1,60,640,5,0,2,8
223,2016-02-02 15:58:00,4,1,3,365,1170,320,1,12,52
224,2014-05-30 16:54:00,0,1,3,60,665,130,0,2,8
225,2013-11-04 17:51:00,0,1,3,365,995,38,1,12,52
226,2014-07-15 17:26:00,0,1,3,1095,365,131,3,36,156
227,2014-01-20 18:40:00,2,1,2,3285,890,5,9,109,469
228,2015-09-07 15:05:00,3,0,3,730,640,320,2,24,104
229,2013-12-02 14:10:00,4,1,3,1825,754,38,5,60,260
230,2015-11-29 18:11:00,3,1,1,730,450,38,2,24,104
231,2015-05-01 11:04:00,3,1,2,730,435,88,2,24,104
232,2015-11-03 16:40:00,3,1,2,2555,695,114,7,85,365
233,2014-07-28 09:00:00,4,0,0,365,640,111,1,12,52
234,2015-11-21 15:21:00,0,0,3,2190,640,38,6,73,312
235,2014-07-12 20:04:00,0,0,2,60,640,220,0,2,8
236,2015-05-10 18:38:00,3,1,3,365,450,276,1,12,52
237,2013-11-14 17:14:00,0,0,2,60,640,220,0,2,8
238,2014-11-08 14:41:00,3,1,3,2190,1105,89,6,73,312
239,2015-05-26 16:02:00,4,0,1,60,640,111,0,2,8
240,2015-06-24 15:25:00,0,1,3,730,450,114,2,24,104
241,2014-08-19 18:25:00,0,0,2,2555,1251,186,7,85,365
242,2015-12-06 12:41:00,0,0,3,90,640,111,0,3,12
243,2015-11-19 18:45:00,0,1,2,1095,504,226,3,36,156
244,2014-04-22 15:35:00,4,0,0,730,640,5,2,24,104
245,2013-12-01 17:58:00,0,1,3,2555,664,210,7,85,365
246,2015-05-24 17:25:00,2,0,1,30,640,327,0,1,4
247,2013-11-09 19:21:00,3,1,3,730,1066,130,2,24,104
248,2015-08-05 00:00:00,3,1,0,150,307,38,0,5,21
249,2015-06-02 11:56:00,4,1,2,1460,163,38,4,48,208
250,2014-03-06 17:13:00,3,1,2,730,847,131,2,24,104
251,2016-02-07 00:00:00,4,1,3,2555,4,307,7,85,365
252,2014-07-06 12:46:00,0,1,2,365,869,88,1,12,52
253,2013-12-11 12:49:00,4,0,2,30,640,220,0,1,4
254,2015-01-31 13:33:00,0,1,2,30,180,25,0,1,4
255,2015-09-20 14:50:00,0,0,2,60,945,320,0,2,8
256,2015-10-06 09:00:00,4,0,0,1095,640,41,3,36,156
257,2014-07-16 13:48:00,4,1,3,1460,481,289,4,48,208
258,2013-10-19 12:58:00,0,1,3,365,1066,38,1,12,52
259,2015-08-02 18:49:00,0,1,3,730,681,38,2,24,104
260,2015-05-28 15:25:00,4,1,3,3650,517,131,10,121,521
261,2014-10-18 16:55:00,0,0,2,60,640,104,0,2,8
262,2015-04-11 18:01:00,0,1,3,3650,450,274,10,121,521
263,2015-07-19 14:37:00,0,0,3,730,632,111,2,24,104
264,2014-07-21 11:09:00,3,1,3,2555,1170,320,7,85,365
265,2014-08-25 17:12:00,0,1,2,365,285,276,1,12,52
266,2015-09-17 13:48:00,4,1,2,1825,1066,98,5,60,260
267,2015-03-23 17:50:00,3,1,3,2190,450,31,6,73,312
268,2015-08-22 15:44:00,4,0,4,7,640,104,0,0,1
269,2014-07-17 18:06:00,2,1,3,2555,1066,289,7,85,365
270,2013-10-02 17:43:00,0,1,2,365,438,5,1,12,52
271,2014-07-10 12:48:00,0,1,2,365,823,329,1,12,52
272,2015-05-03 17:24:00,4,0,0,14,640,216,0,0,2
273,2013-12-24 15:03:00,4,0,0,365,640,216,1,12,52
274,2014-12-03 14:24:00,3,1,2,1825,695,25,5,60,260
275,2014-08-11 11:12:00,3,1,3,730,1197,36,2,24,104
276,2014-03-18 17:04:00,0,1,2,300,1255,338,0,10,42
277,2015-05-25 14:15:00,4,0,0,90,640,5,0,3,12
278,2014-02-14 18:59:00,0,1,2,270,389,185,0,9,38
279,2015-09-21 15:57:00,4,0,0,30,640,38,0,1,4
280,2014-04-25 15:17:00,4,0,4,0,640,41,0,0,0
281,2015-11-10 09:00:00,4,0,3,1825,640,139,5,60,260
282,2016-02-20 21:16:00,0,1,3,240,450,165,0,8,34
283,2015-04-30 14:43:00,4,1,1,365,365,166,1,12,52
284,2015-10-14 10:12:00,0,0,3,60,640,216,0,2,8
285,2013-10-08 17:23:00,3,0,2,90,639,38,0,3,12
286,2015-04-06 15:37:00,3,1,1,5110,450,165,14,170,730
287,2014-03-16 10:48:00,3,1,2,2555,847,150,7,85,365
288,2016-01-10 11:36:00,0,1,2,730,1235,204,2,24,104
289,2015-11-05 00:00:00,4,1,3,180,1105,89,0,6,25
290,2014-01-13 15:18:00,0,1,2,330,125,289,0,11,47
291,2015-02-05 14:28:00,0,1,2,1095,450,289,3,36,156
292,2014-11-07 13:36:00,4,0,0,60,632,38,0,2,8
293,2014-04-27 15:11:00,0,1,2,365,862,38,1,12,52
294,2014-09-29 18:28:00,2,0,0,28,1251,59,0,0,4
295,2015-03-28 19:25:00,2,1,2,1460,450,329,4,48,208
296,2013-11-27 14:36:00,0,0,2,2920,637,216,8,97,417
297,2013-10-16 17:01:00,0,0,3,90,640,139,0,3,12
298,2014-11-09 14:47:00,0,1,3,60,74,130,0,2,8
299,2014-08-15 12:54:00,0,0,3,120,640,296,0,4,17
300,2014-03-21 17:10:00,2,1,1,730,880,276,2,24,104
301,2014-07-17 17:50:00,3,1,2,2190,559,88,6,73,312
302,2015-08-02 13:17:00,4,1,3,330,307,98,0,11,47
303,2015-10-08 16:26:00,4,1,3,365,847,289,1,12,52
304,2013-11-23 16:00:00,4,1,2,1460,1245,4,4,48,208
305,2014-09-13 14:10:00,0,0,2,60,637,86,0,2,8
306,2015-11-23 00:00:00,4,1,2,730,1066,226,2,24,104
307,2013-11-25 17:07:00,0,1,3,60,74,228,0,2,8
308,2015-01-06 18:37:00,0,0,2,180,640,5,0,6,25
309,2015-08-16 17:38:00,0,0,2,2920,640,38,8,97,417
310,2014-02-13 17:36:00,3,0,2,1095,640,104,3,36,156
311,2014-08-10 17:25:00,0,1,2,730,450,130,2,24,104
312,2014-11-07 17:15:00,4,1,1,60,74,329,0,2,8
313,2014-09-21 13:21:00,4,0,0,21,640,296,0,0,3
314,2015-06-05 14:31:00,0,0,3,60,640,104,0,2,8
315,2015-06-30 07:01:00,0,1,2,1460,696,88,4,48,208
316,2013-12-16 14:57:00,4,0,2,1825,640,111,5,60,260
317,2015-11-22 13:47:00,0,1,3,730,1116,165,2,24,104
318,2013-10-03 15:33:00,4,0,0,180,637,139,0,6,25
319,2014-05-09 19:30:00,4,1,3,730,962,31,2,24,104
320,2014-09-01 10:39:00,3,1,3,3650,539,252,10,121,521
321,2014-12-12 09:00:00,4,0,1,180,640,38,0,6,25
322,2014-04-01 12:19:00,4,0,0,60,640,139,0,2,8
323,2015-02-21 17:30:00,0,1,2,180,518,252,0,6,25
324,2014-01-25 18:34:00,3,1,2,2920,450,307,8,97,417
325,2015-11-12 12:36:00,0,1,2,180,847,131,0,6,25
326,2014-08-14 17:23:00,4,0,1,90,1251,260,0,3,12
327,2014-01-01 18:45:00,0,1,3,365,1203,36,1,12,52
328,2015-03-16 17:38:00,0,1,3,365,450,114,1,12,52
329,2014-05-19 18:05:00,0,1,2,60,307,307,0,2,8
330,2014-05-16 18:37:00,4,0,4,14,640,63,0,0,2
331,2014-01-25 18:09:00,0,1,3,730,450,274,2,24,104
332,2014-09-08 11:53:00,0,0,3,60,640,220,0,2,8
333,2014-09-02 11:23:00,3,0,2,270,640,332,0,9,38
334,2014-12-23 14:58:00,4,1,3,1460,1170,38,4,48,208
335,2014-11-12 18:27:00,0,1,2,120,727,250,0,4,17
336,2014-07-06 18:33:00,4,0,1,3,640,318,0,0,0
337,2015-05-30 15:30:00,4,1,1,2190,547,58,6,73,312
338,2014-01-11 17:42:00,0,1,3,60,268,38,0,2,8
339,2014-04-03 15:19:00,4,0,0,240,640,63,0,8,34
340,2014-08-06 14:23:00,4,0,1,30,640,38,0,1,4
341,2013-11-26 14:55:00,4,0,0,120,640,5,0,4,17
342,2015-07-31 12:56:00,0,0,0,60,640,291,0,2,8
343,2014-05-12 14:05:00,3,1,0,730,1066,178,2,24,104
344,2014-04-04 15:30:00,0,1,2,120,543,307,0,4,17
345,2016-02-08 19:23:00,4,0,1,365,640,104,1,12,52
346,2015-07-16 11:09:00,0,0,3,90,1251,214,0,3,12
347,2014-07-08 14:48:00,4,0,1,60,640,38,0,2,8
348,2015-12-24 10:12:00,0,0,3,120,640,220,0,4,17
349,2015-06-14 12:01:00,0,1,2,1825,1113,89,5,60,260
350,2014-01-23 14:06:00,3,1,3,730,1066,185,2,24,104
351,2014-07-31 13:22:00,4,0,0,14,640,104,0,0,2
352,2014-11-18 11:32:00,0,0,3,60,640,5,0,2,8
353,2015-11-15 18:01:00,0,1,3,300,450,289,0,10,42
354,2014-06-17 13:27:00,4,1,2,730,1130,38,2,24,104
355,2015-11-09 17:02:00,0,1,3,300,68,318,0,10,42
356,2014-07-25 16:48:00,4,0,1,28,640,41,0,0,4
357,2014-06-08 16:49:00,3,1,2,365,60,179,1,12,52
358,2015-01-19 17:53:00,0,0,3,210,640,111,0,7,30
359,2015-02-13 14:49:00,0,1,3,730,1066,130,2,24,104
360,2015-01-02 16:50:00,4,1,3,2555,754,38,7,85,365
361,2015-07-22 18:37:00,0,0,2,60,640,104,0,2,8
362,2015-08-24 18:23:00,2,0,2,4380,640,38,12,146,625
363,2014-09-02 14:51:00,4,1,0,1095,74,307,3,36,156
364,2014-12-19 11:23:00,4,0,3,90,640,38,0,3,12
365,2015-10-23 18:07:00,0,1,3,730,497,238,2,24,104
366,2014-04-22 16:02:00,3,1,0,4380,847,358,12,146,625
367,2015-03-16 12:10:00,0,1,3,365,681,5,1,12,52
368,2014-08-29 16:56:00,4,1,2,1095,847,358,3,36,156
369,2014-05-25 17:32:00,0,0,3,30,640,139,0,1,4
370,2015-03-06 09:54:00,4,1,4,6,847,318,0,0,0
371,2013-11-22 17:54:00,3,1,3,270,1170,307,0,9,38
372,2014-11-23 18:23:00,0,0,3,60,632,38,0,2,8
373,2015-06-10 17:23:00,2,1,2,730,13,289,2,24,104
374,2015-12-28 17:33:00,3,1,2,2555,27,318,7,85,365
375,2014-03-10 16:24:00,4,1,2,120,847,41,0,4,17
376,2015-05-26 15:52:00,0,0,2,3650,640,216,10,121,521
377,2014-02-27 16:04:00,3,1,3,1825,450,274,5,60,260
378,2015-03-01 16:13:00,0,1,3,730,1130,165,2,24,104
379,2014-09-20 15:37:00,0,1,2,1825,450,289,5,60,260
380,2014-10-15 17:21:00,0,0,2,150,1251,186,0,5,21
381,2015-04-01 18:44:00,0,0,2,365,640,38,1,12,52
382,2015-11-13 12:59:00,4,1,1,365,846,136,1,12,52
383,2014-12-18 13:35:00,4,0,2,120,637,5,0,4,17
384,2014-02-13 17:05:00,4,1,3,730,481,353,2,24,104
385,2014-04-17 17:09:00,2,1,1,1095,1197,36,3,36,156
386,2015-04-24 17:47:00,4,0,1,28,639,41,0,0,4
387,2015-05-19 18:49:00,4,0,4,21,640,38,0,0,3
388,2015-06-17 12:27:00,4,0,0,21,640,296,0,0,3
389,2015-07-11 13:49:00,4,1,3,730,846,5,2,24,104
390,2015-11-08 19:10:00,0,1,2,365,307,130,1,12,52
391,2014-08-03 17:47:00,4,0,1,14,640,63,0,0,2
392,2014-10-10 14:05:00,0,1,2,730,811,353,2,24,104
393,2015-10-26 12:43:00,3,1,1,270,1087,250,0,9,38
394,2014-01-26 15:19:00,0,1,2,1095,869,88,3,36,156
395,2015-06-26 09:42:00,2,0,0,30,640,296,0,1,4
396,2015-02-08 14:55:00,0,1,2,730,209,307,2,24,104
397,2016-01-26 19:01:00,4,0,2,730,640,104,2,24,104
398,2014-07-04 18:42:00,4,1,2,120,1105,96,0,4,17
399,2015-10-16 17:24:00,3,1,1,1095,648,89,3,36,156
400,2014-12-05 17:10:00,4,1,2,365,1066,130,1,12,52
401,2014-09-25 18:48:00,4,0,1,30,637,111,0,1,4
402,2014-05-17 13:44:00,0,1,3,365,450,329,1,12,52
403,2016-01-07 12:44:00,4,1,2,60,847,36,0,2,8
404,2015-05-11 18:38:00,3,1,3,3285,449,88,9,109,469
405,2015-05-31 18:53:00,0,1,2,730,1066,88,2,24,104
406,2015-11-21 11:17:00,0,1,3,180,1116,324,0,6,25
407,2015-03-03 13:14:00,0,1,2,90,442,307,0,3,12
408,2014-07-07 16:52:00,0,1,2,30,861,165,0,1,4
409,2015-11-24 00:00:00,4,1,0,365,1365,36,1,12,52
410,2014-05-16 14:58:00,0,1,3,730,1066,86,2,24,104
411,2014-03-22 16:23:00,3,1,3,1095,847,38,3,36,156
412,2015-10-10 14:30:00,0,0,1,60,1251,205,0,2,8
